well,variant_name,replicate,is_wt,avgfp_raw,mcherry_raw,avgfp_corrected,mcherry_corrected,activity_ratio,log_activity,low_expression,hit_floor
C4,28,2,False,16865.0,8834.0,2910.0,100.575,28.933631618195374,3.365004642329686,False,True
C5,29,1,False,16604.0,12307.0,2649.0,2249.5,1.1775950211158035,0.1634742409908427,False,False
C5,29,2,False,13667.0,11672.0,100.575,1614.5,0.062294828120161044,-2.775876872362478,False,True
A3,3,1,False,18666.0,12413.0,4711.0,2355.5,2.0,0.6931471805599453,False,False
A3,3,2,False,16755.0,11195.0,2800.0,1137.5,2.4615384615384617,0.9007865453381899,False,False
C6,30,1,False,16786.0,9003.0,2831.0,100.575,28.14814814814815,3.337481567276048,False,True
C6,30,2,False,12467.0,8345.0,100.575,100.575,1.0,0.0,False,True
C7,31,1,False,13531.0,8523.0,100.575,100.575,1.0,0.0,False,True
C7,31,2,False,11406.0,6881.0,100.575,100.575,1.0,0.0,False,True
C8,32,1,False,17015.0,11017.0,3060.0,959.5,3.1891610213652943,1.1597578794986718,False,False
C8,32,2,False,13173.0,8689.0,100.575,100.575,1.0,0.0,False,True
C9,33,1,False,17143.0,11911.0,3188.0,1853.5,1.719989209603453,0.5423180173193187,False,False
C9,33,2,False,15082.0,11985.0,1127.0,1927.5,0.5846952010376135,-0.5366645913977082,False,False
C10,34,1,False,16496.0,11451.0,2541.0,1393.5,1.8234660925726587,0.6007391363981611,False,False
C10,34,2,False,17219.0,9056.0,3264.0,100.575,32.453392990305744,3.4798049982481456,False,True
C11,35,1,False,16941.0,11147.0,2986.0,1089.5,2.7407067462138595,1.0082158237144612,False,False
C11,35,2,False,15884.0,10337.0,1929.0,279.5,6.901610017889087,1.9317547203105752,False,False
C12,36,1,False,15594.0,12633.0,1639.0,2575.5,0.6363812851873423,-0.4519573902618102,False,False
C12,36,2,False,15405.0,7641.0,1450.0,100.575,14.417101665423813,2.668415117578768,False,True
D1,37,1,False,12048.0,9142.0,100.575,100.575,1.0,0.0,False,True
D1,37,2,False,15719.0,11898.0,1764.0,1840.5,0.9584352078239609,-0.04245331625233923,False,False
D2,38,1,False,16345.0,11478.0,2390.0,1420.5,1.6825061598028863,0.5202844436313138,False,False
D2,38,2,False,16133.0,9961.0,2178.0,100.575,21.655480984340045,3.075258585657054,False,True
D3,39,1,False,16262.0,8966.0,2307.0,100.575,22.938105891126025,3.132799540337902,False,True
D3,39,2,False,16774.0,9511.0,2819.0,100.575,28.028834203330845,3.3332337732782604,False,True
A4,4,1,False,16638.0,11146.0,2683.0,1088.5,2.4648598989435,0.902134969751022,False,False
A4,4,2,False,17346.0,12110.0,3391.0,2052.5,1.6521315468940316,0.5020663007990553,False,False
D4,40,1,False,16376.0,8129.0,2421.0,100.575,24.07158836689038,3.1810322391022066,False,True
D4,40,2,False,15411.0,9817.0,1456.0,100.575,14.476758637832463,2.6725445109207793,False,True
D5,41,1,False,14153.0,10390.0,198.0,332.5,0.5954887218045113,-0.5183728294013735,False,False
D5,41,2,False,10832.0,6241.0,100.575,100.575,1.0,0.0,False,True
D6,42,1,False,16811.0,12056.0,2856.0,1998.5,1.4290718038528896,0.3570251453080967,False,False
D6,42,2,False,8633.0,5724.0,100.575,100.575,1.0,0.0,False,True
D7,43,1,False,16999.0,11343.0,3044.0,1285.5,2.367950213924543,0.8620246922756323,False,False
D7,43,2,False,9438.0,6500.0,100.575,100.575,1.0,0.0,False,True
D8,44,1,False,17204.0,13137.0,3249.0,3079.5,1.055041402825134,0.053580010542002426,False,False
D8,44,2,False,9898.0,8349.0,100.575,100.575,1.0,0.0,False,True
D9,45,1,False,17046.0,10733.0,3091.0,675.5,4.5758697261287935,1.5207967847318629,False,False
D9,45,2,False,13363.0,9026.0,100.575,100.575,1.0,0.0,False,True
D10,46,1,False,18220.0,12156.0,4265.0,2098.5,2.0324040981653564,0.709219377152134,False,False
D10,46,2,False,16577.0,12296.0,2622.0,2238.5,1.1713200804109896,0.15813138664262497,False,False
A5,5,1,False,13345.0,8971.0,100.575,100.575,1.0,0.0,False,True
A5,5,2,False,15955.0,9942.0,2000.0,100.575,19.885657469550086,2.9899987417062306,False,True
A6,6,1,False,17938.0,12305.0,3983.0,2247.5,1.7721913236929923,0.5722168168358689,False,False
A6,6,2,False,17472.0,9766.0,3517.0,100.575,34.96892866020383,3.5544599146381306,False,True
A7,7,1,False,14656.0,10372.0,701.0,314.5,2.2289348171701113,0.8015238108940949,False,False
A7,7,2,False,17242.0,14270.0,3287.0,4212.5,0.7802967359050446,-0.24808100099639768,False,False
A8,8,1,False,14271.0,8844.0,316.0,100.575,3.1419338801889136,1.1448384957510602,False,True
A8,8,2,False,15537.0,11207.0,1582.0,1149.5,1.3762505437146586,0.31936280412436296,False,False
A9,9,1,False,16202.0,10915.0,2247.0,857.5,2.620408163265306,0.9633300931452341,False,False
A9,9,2,False,14109.0,9486.0,154.0,100.575,1.5311956251553567,0.42604888457777723,False,True
A1,WT,1,True,15792.0,8298.0,1837.0,100.575,18.264976385781754,2.9049853673792736,False,True
A1,WT,2,True,11525.0,7085.0,100.575,100.575,1.0,0.0,False,True
